crop,year,subregion,area_ha,production_t,yield_tha
Irrigated wheat,2013,Alexandria,34215.299999999996,219588.9,6.45260645277156
Irrigated wheat,2013,Assuit,82173.84,589263.8999999999,6.402543448531423
Irrigated wheat,2013,Aswan,29832.6,135663.9,5.106628168131511
Irrigated wheat,2013,Behera,145059.6,1010236.5,7.18136339447591
Irrigated wheat,2013,Beni Suef,54667.2,420440.25,7.247914858399728
Irrigated wheat,2013,Cairo,33.18,208.95,6.2974683544303804
Irrigated wheat,2013,Dakahlia,126971.45999999999,878370.45,7.244202041507697
Irrigated wheat,2013,Damietta,13545,85381.95,6.130151695385019
Irrigated wheat,2013,Fayoum,86991.65999999999,543924.45,6.8252403705749645
Irrigated wheat,2013,Gharbia,69712.44,517116.9,7.626408337385752
Irrigated wheat,2013,Giza,25336.92,136363.35,7.210965369933038
Irrigated wheat,2013,Ismailia,22369.2,136691.85,6.128859487619783
Irrigated wheat,2013,Kafr-Elsheikh,100802.1,638653.35,6.337930138028354
Irrigated wheat,2013,Luxor,19227.6,122163.9,6.6142054838993545
Irrigated wheat,2013,Matruh,10308.9,44181,4.285714285714286
Irrigated wheat,2013,Menia,109081.56,678594.45,7.2128751733165
Irrigated wheat,2013,Menoufia,60529.14,475586.1,7.932281171851885
Irrigated wheat,2013,New valley,48937.56,269963.25,4.997601970470581
Irrigated wheat,2013,North Sinai,5.46,13.65,2.5
Irrigated wheat,2013,Noubaria,58209.479999999996,377945.85,6.43906962296374
Irrigated wheat,2013,Port Said,6536.46,42020.1,6.428571428571429
Irrigated wheat,2013,Qalyoubia,25801.02,175999.8,6.939364120477081
Irrigated wheat,2013,Qena,44313.78,301413,6.836936828111821
Irrigated wheat,2013,Sharkia,181618.5,1168196.0999999999,6.867596457312036
Irrigated wheat,2013,South Sinai,106.25999999999999,384,3.6137775268210053
Irrigated wheat,2013,Suez,2078.58,12798.15,5.891971898733753
Irrigated wheat,2013,Suhag,60243.119999999995,479036.25,6.801742486481895
Irrigated wheat,2014,Alexandria,32148.899999999998,202767.75,6.3288631474871115
Irrigated wheat,2014,Assuit,92289.12,599696.1,6.5503812433221915
Irrigated wheat,2014,Aswan,25215.539999999997,146790.44999999998,6.364187275057728
Irrigated wheat,2014,Behera,148766.94,1042431.15,7.008816919813765
Irrigated wheat,2014,Beni Suef,59034.78,381409.5,6.430046694684565
Irrigated wheat,2014,Cairo,34.019999999999996,206.54999999999998,6.071428571428572
Irrigated wheat,2014,Dakahlia,122581.2,831801,6.779570500331134
Irrigated wheat,2014,Damietta,11427.78,72362.4,6.334645237050805
Irrigated wheat,2014,Fayoum,87966.06,565496.1,6.435218135881887
Irrigated wheat,2014,Gharbia,62087.34,423080.85,6.804969088179912
Irrigated wheat,2014,Giza,17644.62,128175.59999999999,7.217907782448043
Irrigated wheat,2014,Ismailia,21598.5,136764.75,6.275813073562323
Irrigated wheat,2014,Kafr-Elsheikh,103254.48,657141,6.3557189317838745
Irrigated wheat,2014,Luxor,18579.96,110150.09999999999,5.831537066158794
Irrigated wheat,2014,Matruh,8105.16,33868.049999999996,4.178578831263048
Irrigated wheat,2014,Menia,99482.45999999999,685513.5,6.936072320202722
Irrigated wheat,2014,Menoufia,57916.74,441822,7.21548634638324
Irrigated wheat,2014,New valley,54860.82,299775.3,5.457399819156453
Irrigated wheat,2014,Noubaria,57454.32,365245.5,6.35569959494322
Irrigated wheat,2014,Port Said,6344.94,40788.9,6.428571428571429
Irrigated wheat,2014,Qalyoubia,24934.98,162878.85,6.4388829181204
Irrigated wheat,2014,Qena,49199.219999999994,304156.64999999997,6.4069980947471565
Irrigated wheat,2014,Sharkia,178296.72,1100345.4,6.347609561470756
Irrigated wheat,2014,South Sinai,266.7,1066.8,4.160841836734694
Irrigated wheat,2014,Suez,2161.3199999999997,13361.55,5.667720452024916
Irrigated wheat,2014,Suhag,80034.36,511076.55,6.2177932446741035
Irrigated wheat,2015,Alexandria,34713.84,208283.1,5.883275326640469
Irrigated wheat,2015,Assuit,94468.5,628552.95,6.703243065504166
Irrigated wheat,2015,Aswan,28195.44,171388.05,6.725676196931778
Irrigated wheat,2015,Behera,151607.82,1016313.9,6.836039883923197
Irrigated wheat,2015,Beni Suef,60475.799999999996,425490.45,6.795384688436803
Irrigated wheat,2015,Cairo,29.4,189,6.428571428571429
Irrigated wheat,2015,Dakahlia,114796.08,787990.5,6.8302668866716045
Irrigated wheat,2015,Damietta,10801.98,67512.45,6.122884679971386
Irrigated wheat,2015,Fayoum,94816.26,600051.45,6.433795838303989
Irrigated wheat,2015,Gharbia,62224.259999999995,428236.19999999995,6.836094071506957
Irrigated wheat,2015,Giza,19436.76,137723.4,7.003422187808388
