crop,year,Governorates,variety,land_type,Area_ha,Yield_tonha,Prod_ton
Irrigated wheat,2013,Alexandria,Seds 12,Old Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Seds 12,New Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Seds 12,Tota,NA,NA,NA
Irrigated wheat,2013,Alexandria,Masr 1,Old Land,1847.58,5.774770239989609,10669.35
Irrigated wheat,2013,Alexandria,Masr 1,New Land,2584.2599999999998,5.395219521255601,13942.65
Irrigated wheat,2013,Alexandria,Masr 1,Tota,4431.84,5.553449583017438,24612
Irrigated wheat,2013,Alexandria,Giza 168,Old Land,3663.66,6.812941157203452,24960.3
Irrigated wheat,2013,Alexandria,Giza 168,New Land,5762.82,6.442548960404801,37127.25
Irrigated wheat,2013,Alexandria,Giza 168,Tota,9426.48,6.586504188201746,62087.549999999996
Irrigated wheat,2013,Alexandria,Gemmeza 11,Old Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Gemmeza 11,New Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Gemmeza 11,Tota,NA,NA,NA
Irrigated wheat,2013,Alexandria,Beni Suef 5,Old Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Beni Suef 5,New Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Beni Suef 5,Tota,NA,NA,NA
Irrigated wheat,2013,Alexandria,Sakha 95,Old Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Sakha 95,New Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Sakha 95,Tota,NA,NA,NA
Irrigated wheat,2013,Alexandria,Masr 2,Old Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Masr 2,New Land,NA,NA,NA
Irrigated wheat,2013,Alexandria,Masr 2,Tota,NA,NA,NA
Irrigated wheat,2013,Alexandria,Sakha 93,Old Land,1482.1799999999998,5.929441768206292,8788.5
Irrigated wheat,2013,Alexandria,Sakha 93,New Land,3279.3599999999997,5.70742461943794,18716.7
Irrigated wheat,2013,Alexandria,Sakha 93,Tota,4761.54,5.776534482541363,27505.2
Irrigated wheat,2013,Alexandria,Sakha 94,Old Land,3319.2599999999998,6.428571428571429,21338.1
Irrigated wheat,2013,Alexandria,Sakha 94,New Land,5213.46,6.291474375942272,32800.35
