,DVS,LAIMAX,TAGP,TWSO,TWLV,TWST,TWRT,CTRAT,RD,DOS,DOE,DOA,DOM,DOH,DOV,CEVST,year,crop,site
0,2.0,8.613952292131541,18188.936796508904,9506.575642024305,3701.2732336333916,4981.087920851206,5085.421452651088,39.968813713774246,100.0,2009-11-15,2009-11-20,2010-03-03,2010-05-04,,,1.792933575222037,2009,wheat,NileDelta
0,2.0,8.081771513938929,12924.311500316093,6760.606213435679,2515.8997926014554,3647.8054942789586,3883.1958229539687,34.48329365974575,100.0,2009-11-15,2009-11-21,2010-02-01,2010-03-21,,,0.46247524193831396,2009,wheat,UpperEgypt
0,2.0,8.504267342056888,19584.88011716424,10287.394654590164,3790.9436859318484,5506.541776642231,5051.366027942665,38.304900926022356,100.0,2010-11-15,2010-11-20,2011-03-04,2011-05-09,,,2.193250470054867,2010,wheat,NileDelta
0,2.0,7.893210150060855,15587.666140771576,9136.648254346903,2168.4323183460942,4282.585568078579,3331.7132743609973,34.759851016660804,100.0,2010-11-15,2010-11-19,2011-01-28,2011-03-26,,,0.5871288666325635,2010,wheat,UpperEgypt
0,2.0,9.023247297239896,21323.081478729247,9817.099454131707,5151.87967026626,6354.102354331282,6381.522707519525,45.047138461855674,100.0,2011-11-15,2011-11-21,2012-03-20,2012-05-19,,,2.11853482459789,2011,wheat,NileDelta
0,2.0,8.973564968163393,17781.53421186407,9563.755287064598,3747.451586962293,4470.327337837179,5059.908190731288,42.62217999185781,100.0,2011-11-15,2011-11-22,2012-02-15,2012-04-10,,,0.46620881385792123,2011,wheat,UpperEgypt
0,2.0,8.722008105049474,19066.427572860055,9553.460804341752,4110.275709452765,5402.691059065535,5383.267164332614,40.3906127554345,100.0,2012-11-15,2012-11-20,2013-03-09,2013-05-09,,,2.6666996173276334,2012,wheat,NileDelta
0,2.0,8.42593199791139,15242.419856556615,8196.509434512189,2906.3809659502094,4139.5294560942175,4186.499427893461,37.94050665447265,100.0,2012-11-15,2012-11-20,2013-02-05,2013-03-29,,,0.47583979889010153,2012,wheat,UpperEgypt
0,2.0,8.533667257638383,18703.546238519142,9814.820758841102,3670.0135930448305,5218.7118866332075,4887.007308911558,37.466230669608514,100.0,2013-11-15,2013-11-20,2014-03-08,2014-05-09,,,2.0953099884250013,2013,wheat,NileDelta
0,2.0,8.162714422970776,15082.30838604457,8616.705182716072,2468.394620651592,3997.2085826769053,3720.725324463192,35.3815677373898,100.0,2013-11-15,2013-11-21,2014-02-01,2014-03-28,,,0.6927803188148514,2013,wheat,UpperEgypt
0,2.0,8.526515079648142,19442.235729933687,10299.551839796206,3794.6971247752376,5347.986765362245,4989.1643636647805,38.35144491504916,100.0,2014-11-15,2014-11-20,2015-03-11,2015-05-15,,,2.8924055945102642,2014,wheat,NileDelta
0,2.0,8.451028760504975,15708.467623481612,8759.978418275497,2794.871897750408,4153.617307455706,3989.9940145971136,37.50333162190674,100.0,2014-11-15,2014-11-20,2015-02-03,2015-03-29,,,0.4942925231493173,2014,wheat,UpperEgypt
0,2.0,8.483780080027124,17829.798344877527,9033.310927031147,3692.8813340767997,5103.606083769579,4903.3265511974605,37.47634802886105,100.0,2015-11-15,2015-11-20,2016-03-07,2016-05-06,,,2.867154416171536,2015,wheat,NileDelta
0,2.0,8.48355073209375,15467.644644528886,7588.936647924854,3210.7429254679014,4667.965071136132,4393.210433725526,38.64242788708774,100.0,2015-11-15,2015-11-20,2016-02-09,2016-03-30,,,0.4940970514961617,2015,wheat,UpperEgypt
0,2.0,8.849017951560516,20338.57601741459,9827.544613259062,4548.216810028885,5962.814594126641,5729.184443639249,39.77108681879097,100.0,2016-11-15,2016-11-20,2017-03-17,2017-05-17,,,4.283476295775294,2016,wheat,NileDelta
0,2.0,8.441585764489684,17316.829783326473,9845.34249609037,2980.4711967617063,4491.016090474398,4264.718429953997,39.04047134728094,100.0,2016-11-15,2016-11-20,2017-02-06,2017-04-05,,,0.5083383348300929,2016,wheat,UpperEgypt
0,2.0,8.21823439471156,16994.039476545877,8850.487949427667,3317.5651391222964,4825.986387995916,4583.141714337992,35.68182432486629,100.0,2017-11-15,2017-11-20,2018-03-06,2018-05-04,,,2.815201681658243,2017,wheat,NileDelta
0,2.0,8.14076019971349,13823.796059087837,6769.471734072809,2609.1789845332355,4445.145340481793,3722.9569780681413,34.98799007533724,100.0,2017-11-15,2017-11-20,2018-02-03,2018-03-22,,,0.5117563740458666,2017,wheat,UpperEgypt
